"","date","count"
"233","2015-12-04",0
"234","2015-12-05",0
"235","2015-12-06",0
"236","2015-12-07",0
"237","2015-12-08",0
"238","2015-12-09",0
"239","2015-12-10",0
"240","2015-12-11",0
"241","2015-12-12",0
"242","2015-12-13",0
"243","2015-12-14",0
"244","2015-12-15",0
"245","2015-12-16",0
"246","2015-12-17",0
"247","2015-12-18",0
"248","2015-12-19",0
"249","2015-12-20",0
"250","2015-12-21",0
"251","2015-12-22",0
"252","2015-12-23",0
"253","2015-12-24",0
"254","2015-12-25",0
"255","2015-12-26",0
"256","2015-12-27",0
"257","2015-12-28",0
"258","2015-12-29",0
"259","2015-12-30",0
"260","2015-12-31",0
"261","2016-01-01",0
"262","2016-01-02",0
"263","2016-01-03",0
"264","2016-01-04",0
"265","2016-01-05",0
"266","2016-01-06",1
"267","2016-01-07",0
"268","2016-01-08",0
"269","2016-01-09",0
"270","2016-01-10",0
"271","2016-01-11",0
"272","2016-01-12",1
"273","2016-01-13",1
"274","2016-01-14",3
"275","2016-01-15",1
"276","2016-01-16",1
"277","2016-01-17",0
"278","2016-01-18",1
"279","2016-01-19",1
"280","2016-01-20",2
"281","2016-01-21",2
"282","2016-01-22",1
"283","2016-01-23",0
"284","2016-01-24",0
"285","2016-01-25",0
"286","2016-01-26",0
"287","2016-01-27",0
"288","2016-01-28",1
"289","2016-01-29",0
"290","2016-01-30",0
"291","2016-01-31",0
"292","2016-02-01",0
"293","2016-02-02",0
"294","2016-02-03",0
"295","2016-02-04",0
"296","2016-02-05",0
"297","2016-02-06",0
"298","2016-02-07",0
"299","2016-02-08",0
"300","2016-02-09",1
"301","2016-02-10",0
"302","2016-02-11",0
"303","2016-02-12",1
"304","2016-02-13",0
"305","2016-02-14",0
"306","2016-02-15",0
"307","2016-02-16",0
"308","2016-02-17",0
"309","2016-02-18",1
"310","2016-02-19",0
"311","2016-02-20",0
"312","2016-02-21",0
"313","2016-02-22",1
"314","2016-02-23",0
"315","2016-02-24",1
"316","2016-02-25",0
"317","2016-02-26",0
"318","2016-02-27",0
"319","2016-02-28",0
"320","2016-02-29",0
"321","2016-03-01",0
"322","2016-03-02",1
"323","2016-03-03",0
"324","2016-03-04",1
"325","2016-03-05",0
"326","2016-03-06",0
"327","2016-03-07",0
"328","2016-03-08",0
"329","2016-03-09",1
"330","2016-03-10",1
"331","2016-03-11",1
"332","2016-03-12",0
"333","2016-03-13",0
"334","2016-03-14",0
"335","2016-03-15",0
"336","2016-03-16",0
"337","2016-03-17",1
"338","2016-03-18",1
"339","2016-03-19",0
"340","2016-03-20",0
"341","2016-03-21",0
"342","2016-03-22",0
"343","2016-03-23",1
"344","2016-03-24",1
"345","2016-03-25",0
"346","2016-03-26",0
"347","2016-03-27",0
"348","2016-03-28",0
"349","2016-03-29",0
"350","2016-03-30",0
"351","2016-03-31",1
"352","2016-04-01",1
"353","2016-04-02",0
"354","2016-04-03",0
"355","2016-04-04",0
"356","2016-04-05",1
"357","2016-04-06",1
"358","2016-04-07",1
"359","2016-04-08",0
"360","2016-04-09",0
"361","2016-04-10",0
"362","2016-04-11",1
"363","2016-04-12",2
"364","2016-04-13",0
"365","2016-04-14",0
"366","2016-04-15",1
"367","2016-04-16",0
"368","2016-04-17",0
"369","2016-04-18",0
"370","2016-04-19",0
"371","2016-04-20",0
"372","2016-04-21",0
"373","2016-04-22",0
"374","2016-04-23",0
"375","2016-04-24",0
"376","2016-04-25",0
"377","2016-04-26",1
"378","2016-04-27",1
"379","2016-04-28",2
"380","2016-04-29",1
