flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
196388629,4947960,D114,ZZZZ,D114,D114,BXO,ZRH,ZRH,
196416398,4947942,D132,ZZZZ,D132,D132,,,,
