flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
174573988,4947951,D123,ZZZZ,D123,D123,BXO,,,
174400147,4947947,D127,ZZZZ,D127,D127,LUG,,,
