flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
181103775,4947950,D124,ZZZZ,D124,D124,BXO,BXO,BXO,
181286277,4947954,D120,ZZZZ,D120,D120,BXO,,,
181282329,4947954,D120,ZZZZ,,,,,,
