snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1448323854,7899,0,46.06780,8.92353,7742,0,0
1448323873,8200,176,46.05280,8.92476,7742,0,0
1448323916,8300,176,46.04560,8.92547,7742,0,9317
1448323947,8600,177,46.03380,8.92612,7742,0,9317
1448324069,9500,174,45.97190,8.93406,7742,0,9317
1448324097,9500,163,45.97090,8.93448,7742,0,9317
1448324112,9700,152,45.97030,8.93493,7742,0,9317
1448324124,9800,163,45.96630,8.93662,7742,0,9317
1448324148,9800,163,45.96250,8.93822,7742,0,9317
1448324169,9800,163,45.95710,8.94053,7742,0,9317
1448324182,9900,163,45.95050,8.94329,7742,0,9317
1448324198,9999,163,45.93860,8.94831,7742,0,9317
1448324210,10000,163,45.93120,8.95157,7742,0,9317
1448324225,10100,163,45.92300,8.95503,7742,180,9317
1448324237,10100,161,45.91510,8.95863,7742,156,9317
1448324249,10100,158,45.90850,8.96269,7742,145,9317
1448324261,10100,151,45.90240,8.96744,7742,129,9317
1448324267,10100,151,45.90100,8.96894,7742,129,9317
1448324289,10100,151,45.89670,8.97332,7742,129,9317
1448324302,10100,133,45.88880,8.98254,7742,121,9317
1448324308,10099,131,45.88620,8.98694,7742,108,9317
1448324317,10100,129,45.88420,8.99043,7742,100,9317
1448324335,10100,135,45.87960,8.99731,7742,91,9317
1448324347,10100,138,45.87610,9.00170,7742,90,9317
1448324353,10100,138,45.87340,9.00452,7742,90,9317
1448324369,10100,140,45.86850,9.01011,7742,83,9317
1448324381,10100,143,45.86610,9.01266,7742,85,9317
1448324393,10100,145,45.86080,9.01791,7742,85,9317
1448324406,10100,148,45.85650,9.02163,7742,87,9317
1448324421,10100,148,45.85110,9.02600,7742,87,9317
1448324434,10100,146,45.84710,9.02978,7742,88,9317
1448324447,10100,147,45.84320,9.03319,7742,88,9317
1448324462,10099,146,45.83750,9.03831,7742,84,9317
1448324474,10099,148,45.83340,9.04192,7742,87,9317
1448324486,10099,148,45.82910,9.04581,7742,88,9317
1448324497,10100,146,45.82460,9.04984,7742,88,9317
1448324510,10100,146,45.82100,9.05302,7742,84,9317
1448324537,10100,176,45.81430,9.05191,7742,73,9317
1448324562,10100,308,45.82030,9.03767,7742,102,9317
1448324580,10100,308,45.82130,9.03548,7742,102,9317
1448324592,10100,308,45.82580,9.02434,7742,102,9317
1448324605,10100,320,45.83380,9.01454,7742,125,9317
1448324611,10100,320,45.83630,9.01268,7742,125,9317
1448324617,10100,330,45.83950,9.01090,7742,123,9317
1448324623,10100,341,45.84130,9.01016,7742,113,9317
1448324650,10100,53,45.84840,9.01605,7742,80,9317
1448324676,10100,195,45.84470,9.01866,7742,43,9317
1448324695,10100,195,45.84380,9.01785,7742,43,9317
1448324716,10100,195,45.84360,9.01450,7742,43,9317
1448324737,10100,293,45.84970,9.00472,7742,45,9317
1448324759,10200,66,45.85310,9.01215,7742,50,9317
1448324796,10099,175,45.85150,9.01332,7742,30,9317
1448324818,10100,280,45.85490,9.00648,7742,42,9317
1448324849,10100,280,45.85690,9.00237,7742,42,9317
1448324861,10100,280,45.85950,8.99642,7742,42,9317
1448324873,10100,280,45.86190,8.99127,7742,42,9317
1448324889,10100,289,45.86670,8.97692,7742,73,9317
1448324904,10100,284,45.86680,8.97503,7742,79,9317
1448324929,10100,204,45.86010,8.96529,7742,79,9317
1448324951,10100,158,45.85260,8.96875,7742,67,9317
1448324957,10100,145,45.85150,8.97018,7742,72,9317
1448324966,10100,145,45.85050,8.97173,7742,72,9317
1448324972,10100,145,45.84730,8.97647,7742,72,9317
1448324978,10099,128,45.84610,8.97904,7742,91,9317
1448324990,10100,128,45.84560,8.98154,7742,91,9317
1448324996,10100,128,45.84430,8.98617,7742,91,9317
1448325018,10100,88,45.84700,8.99332,7742,86,9317
1448325027,10100,47,45.85230,8.99653,7742,79,9317
1448325036,10099,20,45.85610,8.99754,7742,91,9317
1448325042,10000,20,45.85850,8.99831,7742,91,9317
1448325094,10100,20,45.86490,8.99656,7742,91,9317
1448325119,10100,20,45.87780,8.98034,7742,91,9317
1448325140,10100,88,45.88120,8.97969,7742,43,9317
1448325174,10100,97,45.88080,8.98364,7742,41,9317
1448325198,10000,97,45.87690,8.98649,7742,41,9317
1448325225,10100,170,45.87230,8.98537,7742,44,9317
1448325256,10000,130,45.87180,8.98684,7742,38,9317
1448325269,10100,152,45.86670,8.99084,7742,42,9317
1448325291,10100,152,45.86620,8.99081,7742,42,9317
1448325315,10000,305,45.86700,8.98655,7742,38,9317
1448325331,10000,326,45.87260,8.98224,7742,66,9317
1448325337,10000,327,45.87540,8.97962,7742,71,9317
1448325343,10000,327,45.87680,8.97824,7742,71,9317
1448325352,10100,320,45.88110,8.97310,7742,82,9317
1448325371,10099,320,45.88220,8.97143,7742,82,9317
1448325383,10000,327,45.88850,8.96431,7742,89,9317
1448325391,10034,341,45.89090,8.96368,7742,73,9317
1448325413,10000,125,45.89070,8.96583,7742,36,9317
1448325426,10000,125,45.88970,8.96644,7742,36,9317
1448325440,10100,125,45.88830,8.96676,7742,36,9317
1448325454,10000,125,45.88520,8.96724,7742,36,9317
1448325467,10000,159,45.87400,8.96942,7742,93,9317
1448325473,10000,165,45.86960,8.97079,7742,107,9317
1448325482,10100,161,45.86590,8.97267,7742,108,9317
1448325492,10100,161,45.86440,8.97382,7742,108,9317
1448325510,10100,161,45.86180,8.97632,7742,108,9317
1448325550,10100,161,45.86060,8.98354,7742,108,9317
1448325581,10100,161,45.87150,8.98772,7742,108,9317
1448325608,10000,278,45.88110,8.97810,7742,124,9317
1448325614,10100,324,45.88370,8.97669,7742,102,9317
1448325624,10100,342,45.88720,8.97565,7742,97,9317
1448325654,10100,43,45.89020,8.97818,7742,62,9317
1448325688,10100,80,45.89040,8.99455,7742,75,9317
1448325694,10100,64,45.89140,8.99688,7742,65,9317
1448325725,10100,64,45.89210,8.99784,7742,65,9317
1448325734,10100,64,45.89310,8.99946,7742,65,9317
1448325865,10100,249,45.86480,8.98311,7742,89,9317
1448325895,10100,99,45.86080,8.98394,7742,54,9317
1448325917,10100,99,45.86480,8.99125,7742,54,9317
1448325942,10100,54,45.87310,8.99864,7742,92,9317
1448325951,10100,24,45.87770,9.00012,7742,111,9317
1448325966,10100,24,45.88330,9.00173,7742,111,9317
1448325987,10100,24,45.88740,9.00342,7742,111,9317
1448326018,10100,321,45.90310,9.00095,7742,103,9317
1448326043,10100,321,45.90620,8.99834,7742,103,9317
1448326082,10100,321,45.91150,8.99245,7742,103,9317
1448326091,10099,267,45.91420,8.96513,7742,157,9317
1448326100,10100,267,45.91390,8.96144,7742,157,9317
1448326109,10099,267,45.91260,8.95428,7742,157,9317
1448326116,10100,254,45.91110,8.94970,7742,138,9317
1448326122,10100,248,45.91040,8.94706,7742,118,9317
1448326128,10100,241,45.90880,8.94332,7742,102,9317
1448326137,10099,228,45.90650,8.94020,7742,97,9317
1448326147,10100,219,45.90410,8.93775,7742,90,9317
1448326153,10100,206,45.90100,8.93599,7742,94,9317
1448326159,10100,198,45.89770,8.93472,7742,92,9317
1448326168,10100,198,45.89580,8.93420,7742,92,9317
1448326175,10100,198,45.89280,8.93303,7742,92,9317
1448326197,10100,163,45.88120,8.93648,7742,101,9317
1448326203,10100,163,45.87960,8.93764,7742,101,9317
1448326212,10100,151,45.87470,8.94138,7742,97,9317
1448326218,10100,151,45.87320,8.94259,7742,97,9317
1448326224,10100,149,45.87030,8.94510,7742,94,9317
1448326233,10100,152,45.86670,8.94735,7742,100,9317
1448326249,10100,149,45.86110,8.95179,7742,89,9317
1448326261,10099,150,45.85700,8.95496,7742,83,9317
1448326273,10100,147,45.85310,8.95913,7742,85,9317
1448326279,10099,138,45.85100,8.96247,7742,87,9317
1448326286,10099,129,45.85010,8.96420,7742,88,9317
1448326298,10100,117,45.84880,8.96830,7742,80,9317
1448326313,10099,114,45.84770,8.97400,7742,76,9317
1448326341,10100,69,45.85050,8.98667,7742,89,9317
1448326353,10100,69,45.85210,8.99286,7742,89,9317
1448326361,10100,69,45.85820,8.99570,7742,89,9317
1448326414,10100,285,45.86500,8.99603,7742,101,9317
1448326432,10000,278,45.87350,8.97192,7742,131,9317
1448326459,10100,264,45.87290,8.96876,7742,62,9317
1448326481,10099,264,45.87180,8.97453,7742,62,9317
1448326502,10100,116,45.86790,8.98632,7742,94,9317
1448326521,10100,116,45.86710,8.98901,7742,94,9317
1448326533,10100,113,45.86440,8.99981,7742,92,9317
