snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1456146527,6600,289,47.08990,8.13671,18984,46,9316
1456146548,7075,296,47.09320,8.12918,18984,52,9316
1456146563,6975,300,47.09640,8.12192,18984,60,9316
1456146583,7050,296,47.09760,8.11643,18984,59,9316
1456146606,7150,289,47.09710,8.11897,18301,57,9316
1456146667,6775,298,47.09710,8.11897,18301,51,9316
1456146702,6750,290,47.09710,8.11897,18301,49,9316
1456146747,6750,290,47.09710,8.11897,18301,49,9316
1456146873,6999,243,47.11070,8.02258,7742,52,9316
1456146879,7000,203,47.10920,8.02182,7742,67,9316
1456146891,7000,217,47.10680,8.01931,7742,60,9316
1456146897,6999,217,47.10570,8.01697,7742,60,9316
1456146907,7000,217,47.10510,8.01593,7742,60,9316
1456146916,7000,217,47.10430,8.01181,7742,60,9316
1456146944,7000,256,47.10440,8.00685,7742,52,9316
1456146972,6999,305,47.10700,7.99821,7742,54,9316
1456147005,6999,305,47.10920,7.99357,7742,54,9316
1456147020,7000,305,47.11360,7.98419,7742,54,9316
1456147093,7000,305,47.11600,7.97916,7742,54,9316
1456147213,7000,136,47.11440,8.01070,7742,72,9316
1456147234,7000,231,47.11700,8.01131,7742,55,9316
1456147244,7000,231,47.11650,8.01037,7742,55,9316
1456147276,7000,229,47.11460,8.00586,7742,45,9316
1456147313,7000,229,47.11360,8.00349,7742,45,9316
1456147364,7000,229,47.11490,7.97830,7742,45,9316
1456147407,7000,287,47.11770,7.96844,7742,71,9316
1456147453,7000,287,47.12110,7.95839,7742,71,9316
1456147464,7000,287,47.12570,7.94537,7742,71,9316
1456147498,7000,287,47.12620,7.94141,7742,71,9316
1456147519,7000,176,47.12110,7.94331,7742,70,9316
1456147528,7000,176,47.12010,7.94648,7742,70,9316
1456147541,7000,120,47.11940,7.95101,7742,74,9316
1456147584,7000,88,47.12080,7.96526,7742,112,9316
1456147708,7000,88,47.12360,7.97163,7742,112,9316
1456147735,6999,88,47.12890,7.93806,7742,112,9316
1456147764,7100,248,47.12710,7.92436,7742,89,9316
1456147779,7000,251,47.12620,7.91780,7742,77,9316
1456147795,7100,245,47.12460,7.91468,7742,62,9316
1456147808,7000,245,47.12290,7.91181,7742,62,9316
1456147817,7100,245,47.12070,7.90980,7742,62,9316
1456147847,7000,208,47.11120,7.90804,7742,65,9316
