snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1480715001,6500,212,46.15826,8.96648,7742,0,0
1480715017,7100,200,46.11475,8.94421,7742,0,9317
1480715032,7200,200,46.11170,8.94262,7742,0,9317
1480715059,7400,167,46.10528,8.94461,7742,0,9317
1480715074,7400,157,46.10249,8.94631,7742,0,9317
1480715095,7600,135,46.10085,8.94865,7742,0,9317
1480715117,7800,10,46.11206,8.95506,7742,136,9317
1480715139,7999,306,46.11443,8.95292,7742,49,9317
1480715163,8100,207,46.11077,8.94989,7742,42,9317
1480715175,8200,200,46.10744,8.94846,7742,53,9317
1480715181,8200,194,46.10457,8.94762,7742,59,9317
1480715190,8299,191,46.10126,8.94693,7742,67,9317
1480715196,8300,188,46.09972,8.94671,7742,72,9317
1480715211,8400,189,46.09320,8.94525,7742,89,9317
1480715223,8500,187,46.08796,8.94447,7742,89,9317
1480715235,8499,186,46.08421,8.94400,7742,89,9317
1480715255,8500,182,46.07510,8.94342,7742,89,9317
1480715269,8500,182,46.06894,8.94311,7742,85,9317
1480715280,8500,183,46.06408,8.94278,7742,87,9317
1480715292,8500,183,46.06165,8.94259,7742,80,9317
1480715305,8500,183,46.05542,8.94213,7742,80,9317
1480715316,8500,183,46.05195,8.94196,7742,80,9317
1480715327,8500,183,46.04743,8.94157,7742,80,9317
1480715339,8500,183,46.04335,8.94122,7742,82,9317
1480715351,8500,182,46.03942,8.94099,7742,77,9317
1480715363,8500,185,46.03502,8.94056,7742,78,9317
1480715375,8500,184,46.03105,8.94013,7742,74,9317
1480715390,8500,185,46.02567,8.93964,7742,76,9317
1480715418,8400,179,46.01496,8.93959,7742,82,9317
1480715431,8500,179,46.01035,8.93961,7742,83,9317
1480715442,8400,178,46.00560,8.93973,7742,81,9317
1480715455,8499,177,46.00136,8.93999,7742,80,9317
1480715464,8499,166,45.99726,8.94103,7742,72,9317
1480715483,8500,178,45.99252,8.94106,7742,83,9317
1480715489,8500,178,45.98965,8.94116,7742,81,9317
1480715514,8300,179,45.97741,8.94128,7742,94,9317
1480715539,8400,179,45.96650,8.94121,7742,97,9317
1480715554,8400,180,45.95795,8.94119,7742,102,9317
1480715579,8499,180,45.94674,8.94143,7742,106,9317
1480715591,8500,180,45.94060,8.94135,7742,107,9317
1480715614,8500,178,45.92928,8.94160,7742,104,9317
1480715626,8500,178,45.92376,8.94171,7742,101,9317
1480715639,8500,178,45.91775,8.94185,7742,100,9317
1480715651,8500,175,45.91302,8.94228,7742,96,9317
1480715669,8500,179,45.90360,8.94262,7742,98,9317
1480715681,8500,177,45.89792,8.94307,7742,98,9317
1480715693,8500,175,45.89224,8.94397,7742,102,9317
1480715709,8500,163,45.88482,8.94753,7742,103,9317
1480715715,8500,157,45.88346,8.94861,7742,105,9317
1480715722,8500,154,45.87959,8.95119,7742,107,9317
1480715728,8499,154,45.87779,8.95261,7742,107,9317
1480715743,8499,148,45.87116,8.95893,7742,108,9317
1480715751,8500,136,45.86883,8.96331,7742,104,9317
1480715757,8500,120,45.86842,8.96745,7742,98,9317
1480715779,8500,36,45.87423,8.97546,7742,86,9317
1480715785,8500,18,45.87747,8.97651,7742,87,9317
1480715793,8500,7,45.88196,8.97703,7742,96,9317
1480715815,8500,330,45.89398,8.97364,7742,125,9317
1480715821,8500,336,45.89819,8.97138,7742,127,9317
1480715834,8500,339,45.90281,8.96924,7742,128,9317
1480715846,8500,344,45.91206,8.96612,7742,132,9317
1480715859,8500,344,45.91904,8.96328,7742,135,9317
1480715872,8500,344,45.92760,8.95982,7742,133,9317
1480715887,8500,341,45.93133,8.95782,7742,127,9317
1480715899,8500,343,45.93960,8.95427,7742,116,9317
1480715912,8500,349,45.94481,8.95338,7742,113,9317
1480715927,8499,358,45.95115,8.95297,7742,104,9317
1480715942,8500,89,45.96044,8.95278,7742,99,9317
1480715963,8500,349,45.96939,8.95169,7742,99,9317
1480715975,8500,351,45.97426,8.95071,7742,99,9317
1480715991,8500,354,45.98116,8.94970,7742,93,9317
1480716012,8500,22,45.99303,8.94987,7742,101,9317
