snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1434095073,6400,228,46.75650,6.77236,7742,57,0
1434095089,6546,229,46.75350,6.76686,7742,55,9316
1434095104,6675,229,46.75020,6.76129,7742,58,9316
1434095118,6781,229,46.74770,6.75688,7742,59,9316
1434095129,6884,230,46.74540,6.75230,7742,60,9316
1434095140,6943,232,46.74390,6.74893,7742,61,9316
1434095155,7083,231,46.74060,6.74292,7742,62,9316
1434095171,7217,231,46.73730,6.73661,7742,63,9316
1434095186,7366,232,46.73420,6.73018,7742,64,9316
1434095199,7499,232,46.73100,6.72391,7742,65,9316
1434095212,7607,229,46.72830,6.71956,7742,65,9316
1434095227,7712,232,46.72600,6.71458,7742,66,9316
1434095238,7807,230,46.72330,6.71007,7742,66,9316
1434095253,7879,232,46.72010,6.70348,7742,67,9316
1434095268,7910,232,46.71750,6.69826,7742,68,9316
1434095282,7939,232,46.71360,6.69107,7742,70,9316
1434095302,7958,229,46.70910,6.68399,7742,73,9316
1434095313,7978,228,46.70530,6.67753,7742,70,9316
1434095327,8009,231,46.70200,6.67051,7742,76,9316
1434095338,8026,232,46.69950,6.66563,7742,75,9316
1434095353,8050,231,46.69450,6.65609,7742,80,9316
1434095368,8065,232,46.68980,6.64634,7742,85,9316
1434095383,8068,232,46.68870,6.64395,7742,88,9316
1434095398,8075,232,46.68450,6.63584,7742,87,9316
1434095413,8081,232,46.67870,6.62498,7742,89,9316
1434095428,8085,230,46.67300,6.61538,7742,95,9316
1434095443,8089,230,46.66780,6.60573,7742,97,9316
1434095454,8090,230,46.66530,6.60090,7742,98,9316
1434095470,8090,230,46.66010,6.59180,7742,99,9316
1434095484,8126,230,46.65530,6.58262,7742,100,9316
1434095499,8145,232,46.65180,6.57545,7742,100,9316
1434095514,8162,232,46.64710,6.56620,7742,100,9316
1434095529,8173,232,46.64230,6.55746,7742,100,9316
1434095544,8181,232,46.63740,6.54848,7742,100,9316
1434095555,8183,232,46.63500,6.54403,7742,100,9316
1434095569,8187,232,46.63020,6.53509,7742,99,9316
1434095585,8171,231,46.62530,6.52649,7742,100,9316
1434095599,8150,231,46.62170,6.51985,7742,100,9316
1434095610,8135,231,46.61810,6.51288,7742,101,9316
1434095625,8130,231,46.61330,6.50379,7742,101,9316
1434095640,8152,231,46.60840,6.49455,7742,102,9316
1434095655,8163,231,46.60350,6.48691,7742,101,9316
1434095670,8174,230,46.59870,6.47795,7742,105,9316
1434095680,8180,231,46.59530,6.47166,7742,102,9316
1434095695,8184,231,46.59080,6.46283,7742,101,9316
1434095706,8157,231,46.58850,6.45844,7742,100,9316
1434095720,8055,231,46.58400,6.44980,7742,99,9316
1434095735,7903,231,46.57950,6.44139,7742,98,9316
1434095750,7773,231,46.57620,6.43524,7742,97,9316
1434095765,7598,231,46.57200,6.42750,7742,96,9316
1434095780,7450,230,46.56770,6.42020,7742,95,9316
1434095791,7382,230,46.56580,6.41672,7742,93,9316
1434095805,7283,231,46.56220,6.40990,7742,90,9316
1434095816,7232,233,46.56000,6.40482,7742,86,9316
1434095833,7195,235,46.55800,6.39961,7742,85,9316
1434095846,7161,238,46.55550,6.39260,7742,82,9316
1434095861,7138,242,46.55350,6.38550,7742,79,9316
1434095876,7096,244,46.55150,6.37855,7742,76,9316
1434095891,7008,245,46.54940,6.37232,7742,73,9316
1434095912,6914,244,46.54780,6.36719,7742,71,9316
1434095942,6843,244,46.54660,6.36335,7742,66,9316
1434095957,6642,246,46.54380,6.35298,7742,68,9316
1434095971,6547,246,46.54240,6.34786,7742,71,9316
1434095998,6547,246,46.54310,6.35038,7742,71,9316
1434096052,6502,246,46.54160,6.34503,7742,67,9316
1434096108,6100,210,46.53970,6.31143,7742,59,9316
1434096123,6099,209,46.53910,6.31097,7742,54,9316
1434096138,6098,201,46.53730,6.31045,7742,48,9316
1434096166,6098,201,46.53800,6.31056,7742,48,9316
1434096204,6098,185,46.53400,6.31165,7742,44,9316
1434096275,6099,149,46.52410,6.30566,7742,63,9316
1434096289,6099,129,46.52370,6.30732,7742,53,9316
1434096314,6099,129,46.52380,6.30665,7742,53,9316
1434096344,6098,65,46.53010,6.31338,7742,51,9316
1434096378,6098,47,46.53110,6.31345,7742,51,9316
1434096426,6098,136,46.53280,6.31273,7742,49,9316
1434096472,6100,333,46.53460,6.31898,7742,245,9316
1434096494,6098,263,46.53370,6.31781,7742,182,9316
1434096530,6098,263,46.53360,6.31542,7742,166,9316
1434096560,6098,275,46.53410,6.30905,7742,118,9316
1434096581,6098,234,46.53090,6.30658,7742,91,9316
1434096606,6098,234,46.53420,6.31050,7742,91,9316
1434096628,6098,111,46.53240,6.30983,7742,63,9316
1434096649,6098,215,46.53570,6.30940,7742,56,9316
1434096674,6098,215,46.53030,6.30779,7742,56,9316
1434096702,6098,271,46.53760,6.30486,7742,47,9316
1434096732,6098,217,46.53480,6.30088,7742,35,9316
1434096758,6098,217,46.53660,6.30092,7742,35,9316
1434096794,6098,150,46.53200,6.30690,7742,35,9316
1434096826,6098,75,46.53380,6.30945,7742,32,9316
1434096851,6098,224,46.53660,6.30393,7742,29,9316
1434096878,6098,224,46.53610,6.30739,7742,29,9316
1434096896,6098,239,46.53630,6.30194,7742,28,9316
1434096919,6098,167,46.53220,6.30506,7742,27,9316
1434096931,6098,149,46.53150,6.30858,7742,27,9316
1434096955,6098,130,46.53200,6.31078,7742,28,9316
1434096982,6098,227,46.53610,6.30958,7742,25,9316
1434097008,6098,271,46.53760,6.30588,7742,26,9316
1434097037,6098,268,46.53750,6.30479,7742,25,9316
1434097048,6098,248,46.53650,6.30418,7742,23,9316
1434097078,6098,178,46.53120,6.30651,7742,28,9316
1434097110,6098,156,46.53090,6.30757,7742,27,9316
1434097123,6098,66,46.53390,6.31279,7742,27,9316
1434097144,6098,206,46.53560,6.31182,7742,26,9316
1434097164,6098,255,46.53670,6.30948,7742,25,9316
1434097194,6098,259,46.53660,6.30803,7742,23,9316
1434097215,6098,239,46.53420,6.30480,7742,22,9316
1434097241,6098,167,46.53050,6.30854,7742,25,9316
1434097265,6098,98,46.53210,6.31280,7742,26,9316
1434097285,6098,159,46.53520,6.31345,7742,28,9316
1434097305,6098,263,46.53820,6.30975,7742,30,9316
1434097326,6098,269,46.53860,6.30759,7742,29,9316
1434097357,6098,261,46.53780,6.30411,7742,27,9316
1434097386,6098,234,46.53610,6.30298,7742,24,9316
1434097411,6098,170,46.53250,6.30733,7742,26,9316
1434097441,6098,97,46.53420,6.31191,7742,27,9316
1434097461,6098,204,46.53660,6.31100,7742,25,9316
1434097481,6098,257,46.53770,6.30918,7742,25,9316
1434097507,6098,257,46.53240,6.30847,7742,25,9316
1434097522,6098,251,46.53690,6.30427,7742,21,9316
1434097537,6098,226,46.53520,6.30310,7742,21,9316
1434097562,6098,182,46.53050,6.30500,7742,25,9316
1434097587,6098,182,46.53430,6.30298,7742,25,9316
1434097613,6098,104,46.53280,6.30930,7742,25,9316
1434097638,6098,213,46.53360,6.30932,7742,21,9316
1434097663,6098,213,46.52970,6.30673,7742,21,9316
1434097688,6098,138,46.53260,6.31262,7742,18,9316
1434097708,6098,86,46.53580,6.31587,7742,17,9316
1434097723,6098,66,46.53800,6.31657,7742,22,9316
1434097745,6098,238,46.54150,6.31284,7742,24,9316
1434097771,6098,238,46.53690,6.31634,7742,24,9316
