snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1476832881,6900,206,46.08315,8.95223,7742,74,9317
1476832894,6900,207,46.07523,8.94535,7742,72,9317
1476832918,6900,207,46.07416,8.94485,7742,72,9317
1476832949,6900,207,46.06498,8.93975,7742,72,9317
1476832960,6899,207,46.05577,8.93741,7742,72,9317
1476833011,6500,181,46.04487,8.93779,7742,79,9317
1476833097,6100,170,46.02637,8.93916,7742,107,9317
1476833126,5600,170,45.98039,8.93174,7742,107,9317
1476833147,5600,170,45.96939,8.93290,7742,107,9317
1476833161,5500,154,45.95739,8.93721,7742,108,9317
1476833178,5499,160,45.95394,8.93864,7742,108,9317
1476833190,5400,158,45.94147,8.94360,7742,112,9317
1476833209,5400,158,45.93391,8.94932,7742,112,9317
1476833225,5300,153,45.92603,8.95471,7742,115,9317
1476833242,5400,152,45.91792,8.96007,7742,111,9317
1476833258,5500,151,45.91087,8.96510,7742,106,9317
1476833275,5500,152,45.90318,8.97074,7742,104,9317
1476833288,5600,153,45.89595,8.97554,7742,101,9317
1476833300,5600,154,45.89287,8.97760,7742,100,9317
1476833316,5700,156,45.88595,8.98184,7742,100,9317
1476833337,5900,156,45.87981,8.98589,7742,100,9317
1476833350,6000,155,45.87288,8.99026,7742,88,9317
1476833362,6100,154,45.86882,8.99279,7742,80,9317
1476833378,6300,159,45.86395,8.99563,7742,80,9317
1476833392,6400,157,45.85834,8.99878,7742,80,9317
1476833406,6455,157,45.85545,9.00061,7742,80,9317
1476833418,6599,157,45.85033,9.00357,7742,80,9317
1476833430,6600,157,45.84678,9.00572,7742,76,9317
1476833443,6700,163,45.84296,9.00719,7742,69,9317
1476833449,6799,170,45.84001,9.00767,7742,73,9317
1476833455,6800,170,45.83901,9.00769,7742,73,9317
1476833472,6900,176,45.83248,9.00820,7742,70,9317
1476833487,6900,165,45.83015,9.00926,7742,70,9317
1476833494,6900,153,45.82754,9.01271,7742,66,9317
1476833507,6900,118,45.82687,9.01607,7742,63,9317
1476833535,6900,25,45.83257,9.02652,7742,73,9317
1476833565,6899,338,45.84132,9.02351,7742,68,9317
1476833587,6900,39,45.84906,9.02589,7742,73,9317
1476833603,6900,66,45.85142,9.03096,7742,62,9317
1476833623,6899,124,45.84932,9.03491,7742,47,9317
1476833649,6900,232,45.84369,9.03068,7742,51,9317
1476833655,6900,232,45.84330,9.02938,7742,51,9317
1476833661,6900,251,45.84320,9.02704,7742,46,9317
1476833684,6900,80,45.84521,9.02547,7742,30,9317
1476833690,6900,44,45.84620,9.02635,7742,30,9317
1476833701,6900,42,45.84980,9.03136,7742,50,9317
1476833714,6900,51,45.85251,9.03654,7742,70,9317
1476833726,6900,38,45.85611,9.03983,7742,78,9317
1476833751,6900,290,45.85822,9.03829,7742,38,9317
1476833774,6900,210,45.85326,9.03413,7742,50,9317
1476833786,6900,193,45.84909,9.03288,7742,64,9317
1476833793,6899,190,45.84596,9.03213,7742,70,9317
1476833803,6900,190,45.84286,9.03128,7742,78,9317
1476833818,6899,208,45.83771,9.02795,7742,81,9317
1476833825,6900,223,45.83599,9.02521,7742,72,9317
1476833835,6900,242,45.83515,9.02212,7742,67,9317
1476833862,6900,344,45.83852,9.01980,7742,39,9317
1476833882,6899,93,45.83980,9.02582,7742,52,9317
1476833891,6900,120,45.83886,9.02742,7742,47,9317
1476833897,6900,149,45.83739,9.02820,7742,44,9317
1476833925,6900,233,45.83378,9.02452,7742,41,9317
1476833949,6900,302,45.83628,9.01708,7742,44,9317
1476833955,6900,325,45.83736,9.01623,7742,54,9317
1476833961,6900,349,45.84005,9.01606,7742,64,9317
1476833982,6900,37,45.84642,9.01861,7742,71,9317
1476833989,6899,25,45.84920,9.02007,7742,70,9317
1476834018,6900,292,45.85604,9.01784,7742,53,9317
1476834042,6900,223,45.85318,9.01217,7742,52,9317
1476834052,6899,208,45.85068,9.01061,7742,59,9317
1476834058,6900,196,45.84792,9.00979,7742,67,9317
1476834065,6900,196,45.84513,9.00870,7742,72,9317
1476834071,6899,196,45.84409,9.00795,7742,72,9317
1476834087,6899,207,45.84143,9.00386,7742,67,9317
1476834093,6900,244,45.84098,9.00118,7742,60,9317
1476834113,6899,333,45.84363,8.99999,7742,43,9317
1476834134,6900,59,45.84745,9.00607,7742,54,9317
1476834147,6899,80,45.84846,9.01257,7742,58,9317
1476834170,6900,106,45.84575,9.02294,7742,74,9317
1476834187,6900,132,45.84143,9.02953,7742,84,9317
1476834193,6900,136,45.83892,9.03202,7742,82,9317
1476834199,6899,147,45.83767,9.03286,7742,81,9317
1476834205,6900,162,45.83477,9.03374,7742,76,9317
1476834226,6899,203,45.82974,9.03033,7742,71,9317
1476834249,6899,270,45.83074,9.02612,7742,53,9317
1476834278,6900,46,45.83644,9.03139,7742,56,9317
1476834298,6900,146,45.83463,9.03437,7742,32,9317
1476834319,6899,236,45.83310,9.03103,7742,33,9317
1476834343,6900,286,45.83605,9.02602,7742,41,9317
1476834350,6900,336,45.83833,9.02559,7742,48,9317
1476834360,6900,84,45.84273,9.02538,7742,60,9317
1476834381,6900,308,45.84658,9.02189,7742,48,9317
1476834404,6900,201,45.84240,9.01868,7742,50,9317
1476834433,6900,151,45.83398,9.02267,7742,67,9317
1476834440,6900,127,45.83358,9.02387,7742,60,9317
1476834465,6900,37,45.83831,9.03057,7742,54,9317
1476834471,6900,14,45.83944,9.03061,7742,56,9317
1476834493,6900,265,45.84155,9.02681,7742,37,9317
1476834500,6899,265,45.84105,9.02599,7742,37,9317
1476834506,6899,232,45.84031,9.02521,7742,38,9317
1476834513,6900,210,45.83826,9.02416,7742,30,9317
1476834522,6899,199,45.83576,9.02332,7742,50,9317
1476834529,6900,197,45.83299,9.02196,7742,58,9317
1476834547,6900,214,45.82884,9.01714,7742,67,9317
1476834555,6900,229,45.82771,9.01395,7742,68,9317
1476834561,6900,250,45.82755,9.01065,7742,64,9317
1476834581,6900,299,45.82993,9.00301,7742,63,9317
1476834591,6899,321,45.83216,9.00108,7742,69,9317
1476834602,6900,332,45.83611,8.99855,7742,69,9317
1476834611,6900,336,45.83888,8.99743,7742,69,9317
1476834618,6900,336,45.84101,8.99673,7742,69,9317
1476834643,6900,120,45.84727,9.00143,7742,77,9317
1476834663,6899,117,45.84744,9.00687,7742,47,9317
1476834669,6900,145,45.84449,9.00881,7742,68,9317
1476834678,6900,156,45.84163,9.01024,7742,76,9317
1476834684,6900,158,45.83878,9.01176,7742,77,9317
1476834690,6899,158,45.83729,9.01254,7742,77,9317
1476834696,6900,158,45.83406,9.01425,7742,82,9317
1476834712,6900,152,45.82810,9.01944,7742,89,9317
