snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1487233227,4200,72,47.10711,8.38227,7742,0,0
1487233248,4500,92,47.10616,8.39576,7742,80,0
1487233266,4600,100,47.10550,8.39976,7742,84,9316
1487233272,4800,100,47.10462,8.40911,7742,84,9316
1487233284,4900,103,47.10399,8.41274,7742,78,9316
1487233296,5000,103,47.10344,8.41691,7742,78,9316
1487233309,5200,109,47.10161,8.42747,7742,78,9316
1487233321,5300,107,47.10022,8.43375,7742,82,9316
1487233336,5400,107,47.09942,8.43795,7742,81,9316
1487233351,5599,107,47.09771,8.44684,7742,81,9316
1487233362,5800,110,47.09558,8.45606,7742,80,9316
1487233373,5800,110,47.09492,8.45812,7742,80,9316
1487233385,6000,107,47.09305,8.46711,7742,84,9316
1487233401,6169,112,47.09055,8.47545,7742,81,9316
1487233413,6300,112,47.08887,8.48143,7742,81,9316
1487233425,6400,112,47.08714,8.48740,7742,80,9316
1487233437,6500,112,47.08508,8.49450,7742,82,9316
1487233453,6700,113,47.08261,8.50225,7742,80,9316
1487233464,6799,112,47.08096,8.50844,7742,80,9316
1487233477,6900,110,47.07914,8.51543,7742,84,9316
1487233489,7000,113,47.07735,8.52123,7742,82,9316
1487233504,7173,110,47.07512,8.52995,7742,84,9316
1487233516,7300,106,47.07375,8.53636,7742,81,9316
1487233528,7400,106,47.07333,8.54293,7742,81,9316
1487233548,7500,87,47.07373,8.55175,7742,78,9316
1487233571,7700,87,47.07429,8.56328,7742,78,9316
1487233580,7800,53,47.07754,8.57029,7742,78,9316
1487233589,7800,53,47.07869,8.57160,7742,78,9316
1487233614,8000,321,47.08761,8.57088,7742,85,9316
1487233620,7999,327,47.08891,8.56956,7742,79,9316
1487233632,8000,320,47.09100,8.56546,7742,71,9316
1487233657,8000,272,47.08849,8.55211,7742,82,9316
1487233679,8000,185,47.07956,8.54761,7742,83,9316
1487233701,8000,165,47.07522,8.55209,7742,77,9316
1487233707,8000,114,47.07487,8.55620,7742,74,9316
1487233729,7999,61,47.07795,8.56511,7742,84,9316
1487233735,8000,34,47.08046,8.56576,7742,74,9316
1487233757,8100,327,47.08606,8.56232,7742,72,9316
1487233763,8100,308,47.08752,8.55884,7742,75,9316
1487233769,8100,308,47.08802,8.55692,7742,75,9316
1487233797,8100,251,47.08533,8.54596,7742,67,9316
1487233809,8099,209,47.08053,8.54224,7742,84,9316
1487233815,8100,188,47.07733,8.54208,7742,94,9316
1487233837,8100,150,47.07146,8.54682,7742,80,9316
1487233855,8100,129,47.07032,8.55288,7742,76,9316
1487233876,8100,55,47.07646,8.56114,7742,85,9316
1487233893,8100,28,47.08288,8.56638,7742,96,9316
1487233939,8100,35,47.08414,8.56812,7742,101,9316
1487233967,8100,149,47.07885,8.59388,7742,86,9316
1487233973,8100,149,47.07751,8.59474,7742,86,9316
1487233985,8100,160,47.07338,8.59689,7742,81,9316
1487233991,8100,174,47.07041,8.59690,7742,80,9316
1487234012,8100,224,47.06465,8.58830,7742,90,9316
1487234021,8100,233,47.06348,8.58431,7742,86,9316
1487234042,8100,303,47.06660,8.57504,7742,68,9316
1487234048,8100,331,47.06764,8.57464,7742,64,9316
1487234083,8099,43,47.07267,8.57830,7742,65,9316
1487234114,8100,43,47.07659,8.58653,7742,65,9316
1487234141,8099,101,47.06528,8.62688,7742,107,9316
1487234171,8099,279,47.06025,8.62254,7742,208,9316
1487234178,8099,284,47.06131,8.61674,7742,204,9316
1487234203,8100,257,47.06566,8.59676,7742,210,9316
1487234225,8100,294,47.07342,8.57099,7742,218,9316
1487234241,8100,299,47.07946,8.55437,7742,186,9316
1487234247,8100,308,47.08268,8.54875,7742,167,9316
1487234256,8099,318,47.08615,8.54475,7742,144,9316
1487234266,8100,337,47.08916,8.54340,7742,122,9316
1487234278,8100,351,47.09472,8.54257,7742,91,9316
1487234299,8100,70,47.09832,8.55327,7742,82,9316
1487234323,8100,80,47.09932,8.56070,7742,97,9316
1487234351,8100,121,47.09266,8.58042,7742,119,9316
1487234363,8100,158,47.08464,8.58493,7742,123,9316
1487234369,8100,158,47.08287,8.58519,7742,123,9316
1487234389,8100,202,47.07830,8.58161,7742,91,9316
1487234417,8100,319,47.08106,8.57421,7742,65,9316
1487234423,8100,335,47.08371,8.57285,7742,67,9316
1487234429,8100,335,47.08515,8.57245,7742,67,9316
1487234438,8100,350,47.08847,8.57235,7742,72,9316
1487234466,8099,22,47.09494,8.57279,7742,83,9316
1487234480,8100,22,47.10602,8.57445,7742,83,9316
1487234492,8099,16,47.11239,8.57683,7742,97,9316
1487234505,8100,15,47.11772,8.57905,7742,101,9316
1487234517,8099,21,47.12276,8.58219,7742,100,9316
1487234541,8099,319,47.12955,8.57884,7742,77,9316
1487234563,7999,286,47.12677,8.57196,7742,70,9316
1487234584,8100,180,47.11872,8.57099,7742,86,9316
1487234611,8100,125,47.11166,8.58036,7742,92,9316
1487234639,8100,56,47.11464,8.59140,7742,67,9316
1487234645,8100,36,47.11575,8.59205,7742,68,9316
1487234673,8100,322,47.12265,8.59109,7742,60,9316
1487234679,8100,322,47.12465,8.58695,7742,56,9316
1487234685,8100,294,47.12485,8.58455,7742,73,9316
1487234694,8100,294,47.12494,8.58225,7742,73,9316
1487234716,8099,221,47.11891,8.57231,7742,83,9316
1487234728,8099,203,47.11755,8.57189,7742,77,9316
1487234752,8100,203,47.11250,8.57836,7742,77,9316
1487234774,8100,59,47.11488,8.58769,7742,76,9316
1487234780,8099,41,47.11680,8.58968,7742,69,9316
1487234786,8100,23,47.11917,8.59087,7742,69,9316
1487234807,8100,269,47.12235,8.58953,7742,69,9316
1487234828,8100,263,47.12416,8.57886,7742,73,9316
1487234838,8100,243,47.12254,8.57527,7742,79,9316
1487234845,8099,228,47.12124,8.57344,7742,67,9316
1487234851,8100,206,47.11828,8.57200,7742,72,9316
1487234857,8100,206,47.11687,8.57192,7742,72,9316
1487234880,8100,134,47.11257,8.57569,7742,62,9316
1487234886,8100,134,47.11238,8.57783,7742,62,9316
1487234907,8100,23,47.11385,8.58165,7742,43,9316
1487234928,8099,209,47.11277,8.57784,7742,29,9316
1487234944,8099,231,47.11046,8.57363,7742,52,9316
1487234955,8100,241,47.10747,8.56620,7742,73,9316
1487234965,8100,247,47.10623,8.56140,7742,79,9316
1487234971,8100,253,47.10532,8.55650,7742,83,9316
1487234977,8099,253,47.10509,8.55437,7742,83,9316
1487234983,8100,259,47.10478,8.54850,7742,85,9316
1487235004,8100,310,47.10790,8.53977,7742,75,9316
1487235029,8100,37,47.11559,8.54106,7742,78,9316
1487235044,8100,37,47.12111,8.54668,7742,78,9316
1487235057,8099,46,47.12490,8.55327,7742,86,9316
1487235063,8100,46,47.12755,8.55698,7742,95,9316
1487235075,8100,25,47.13162,8.56005,7742,90,9316
1487235099,8100,280,47.13497,8.55573,7742,57,9316
1487235121,8100,250,47.13193,8.55070,7742,58,9316
1487235133,8099,207,47.12650,8.54906,7742,74,9316
1487235156,8099,159,47.11804,8.55274,7742,74,9316
1487235162,8100,140,47.11705,8.55463,7742,80,9316
1487235168,8100,118,47.11576,8.55951,7742,88,9316
1487235177,8100,101,47.11541,8.56373,7742,84,9316
1487235201,8100,34,47.11991,8.57188,7742,75,9316
1487235207,8100,34,47.12122,8.57303,7742,75,9316
1487235239,8100,289,47.12950,8.56350,7742,83,9316
1487235245,8100,289,47.12985,8.56118,7742,83,9316
1487235270,8099,219,47.12544,8.54947,7742,71,9316
1487235276,8099,219,47.12423,8.54903,7742,71,9316
1487235282,8100,198,47.12157,8.54888,7742,74,9316
1487235303,8099,132,47.11676,8.55435,7742,69,9316
1487235312,8100,112,47.11606,8.55790,7742,69,9316
1487235337,8100,78,47.11684,8.57172,7742,80,9316
1487235352,8099,72,47.11917,8.58298,7742,99,9316
1487235364,8100,71,47.12099,8.59108,7742,99,9316
1487235377,8099,71,47.12218,8.59662,7742,99,9316
1487235398,8100,67,47.12454,8.60584,7742,103,9316
1487235411,8100,67,47.12771,8.61938,7742,113,9316
1487235427,8099,67,47.12859,8.62209,7742,113,9316
1487235439,8100,67,47.13064,8.63110,7742,113,9316
1487235448,8100,67,47.13295,8.64026,7742,113,9316
1487235517,7800,81,47.14069,8.68249,18301,85,9316
1487235537,7800,97,47.13698,8.69128,18301,82,9316
1487235567,8100,64,47.13731,8.68774,7742,103,9316
1487235589,8100,186,47.12905,8.68766,7742,117,9316
1487235598,8100,237,47.12569,8.67582,7742,134,9316
1487235604,8100,237,47.12545,8.67324,7742,134,9316
1487235627,8100,260,47.12705,8.66711,7742,116,9316
1487235648,8100,293,47.12809,8.66507,7742,105,9316
1487235660,8100,293,47.13133,8.66465,7742,105,9316
1487235696,8100,293,47.13438,8.66504,7742,105,9316
1487235751,8100,143,47.13745,8.67835,7742,91,9316
1487235779,8100,143,47.12203,8.68035,7742,91,9316
1487235819,8100,225,47.11299,8.67003,7742,98,9316
1487235831,8100,225,47.11200,8.66767,7742,98,9316
1487235853,8100,225,47.11621,8.66778,7742,98,9316
1487235880,8100,225,47.12176,8.67257,7742,98,9316
