snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1462824158,4500,275,47.14500,8.28994,7742,0,9316
1462824185,5000,270,47.14420,8.26680,18301,94,9316
1462824210,4900,266,47.14310,8.24922,18301,89,9316
1462824220,4900,265,47.14280,8.24648,18301,86,9316
1462824240,5750,265,47.14200,8.23439,18301,84,9316
1462824260,5675,268,47.14270,8.22361,18301,83,9316
1462824280,5525,269,47.14250,8.21413,18301,84,9316
1462824296,6100,266,47.14200,8.20631,18301,79,9316
1462824316,6050,267,47.14200,8.19587,18301,79,9316
1462824331,6125,265,47.14150,8.18530,18301,77,9316
1462824346,6175,264,47.14020,8.17678,18301,79,9316
1462824361,5950,264,47.14000,8.16923,18301,81,9316
1462824381,5925,266,47.13990,8.15611,18301,91,9316
1462824410,5775,270,47.14050,8.13383,18984,102,9316
1462824426,5800,271,47.14100,8.12260,18301,106,9316
1462824456,5800,268,47.14060,8.09933,18301,105,9316
1462824466,5800,265,47.13930,8.09541,18301,103,9316
1462824481,5800,262,47.13810,8.08683,18301,100,9316
1462824496,5800,261,47.13660,8.07317,18301,102,9316
1462824517,5800,263,47.13610,8.05991,18301,100,9316
1462824537,5800,270,47.13810,8.04453,18301,100,9316
1462824572,5800,268,47.13790,8.02167,18301,106,9316
1462824587,5825,269,47.13680,8.00773,18301,107,9316
1462824602,6650,266,47.13590,8.00148,18301,104,9316
1462824617,6925,264,47.13490,7.99290,18301,98,9316
1462824642,6550,267,47.13530,7.97669,18301,85,9316
1462824657,6875,265,47.13390,7.96907,18301,82,9316
1462824672,7000,258,47.12990,7.95980,18301,83,9316
1462824687,6800,255,47.12870,7.95307,18301,85,9316
1462824698,6825,256,47.12840,7.94861,18301,83,9316
1462824713,7650,259,47.12800,7.93900,18301,79,9316
1462824743,8000,271,47.13050,7.92499,18301,74,9316
1462824758,7625,272,47.13090,7.91702,18301,75,9316
1462824778,7925,278,47.13300,7.90837,18301,70,9316
1462824788,8225,282,47.13470,7.89931,18301,68,9316
1462824803,8175,281,47.13550,7.89381,18301,73,9316
1462824818,8200,280,47.13630,7.88743,18301,78,9316
1462824833,8075,280,47.13750,7.87740,18301,78,9316
1462824848,8100,278,47.13800,7.86854,18301,82,9316
1462824863,7900,277,47.13910,7.85667,18301,89,9316
1462824874,7875,276,47.13920,7.85282,18301,92,9316
1462824889,7850,277,47.14010,7.84671,18301,91,9316
1462824904,7875,280,47.14320,7.83099,18301,96,9316
1462824929,7875,282,47.14640,7.81492,18301,100,9316
1462824959,7875,281,47.14890,7.79617,18301,101,9316
1462824984,7875,283,47.15240,7.77619,18301,102,9316
1462824999,7875,283,47.15380,7.76809,18301,102,9316
1462825019,7875,282,47.15540,7.75443,18301,101,9316
1462825034,7875,281,47.15670,7.74337,18301,101,9316
1462825044,7875,281,47.15750,7.73822,18301,101,9316
1462825167,8052,280,47.16880,7.65430,7742,106,9316
1462825173,8099,295,47.17060,7.64967,7742,107,9316
1462825192,8099,281,47.17200,7.63795,7742,108,9316
1462825201,8100,280,47.17290,7.62962,7742,108,9316
1462825213,8043,279,47.17380,7.62098,7742,108,9316
1462825225,8000,280,47.17490,7.61254,7742,108,9316
1462825237,8100,281,47.17600,7.60426,7742,104,9316
1462825249,8000,282,47.17730,7.59534,7742,102,9316
1462825261,8000,281,47.17830,7.58703,7742,107,9316
1462825273,8000,283,47.17950,7.57876,7742,108,9316
1462825286,8000,280,47.18060,7.56998,7742,108,9316
1462825298,8000,283,47.18190,7.56170,7742,108,9316
1462825310,8000,279,47.18280,7.55380,7742,98,9316
1462825322,7999,281,47.18390,7.54627,7742,94,9316
1462825334,7999,284,47.18540,7.53776,7742,104,9316
1462825346,8000,280,47.18650,7.52821,7742,106,9316
1462825358,8000,281,47.18800,7.52021,7742,104,9316
1462825371,8100,280,47.18890,7.51126,7742,106,9316
1462825383,8100,284,47.19060,7.50212,7742,108,9316
1462825393,8100,290,47.19240,7.49382,7742,108,9316
1462825405,8099,277,47.19310,7.48496,7742,108,9316
1462825417,8099,277,47.19400,7.47558,7742,108,9316
1462825423,8100,277,47.19420,7.47293,7742,108,9316
1462825435,8100,278,47.19520,7.46386,7742,108,9316
1462825451,8099,279,47.19640,7.45272,7742,108,9316
1462825463,8100,279,47.19730,7.44396,7742,106,9316
1462825475,8100,279,47.19840,7.43515,7742,107,9316
1462825487,8100,282,47.19960,7.42672,7742,108,9316
1462825502,8099,281,47.20100,7.41539,7742,108,9316
1462825514,8000,281,47.20220,7.40617,7742,108,9316
1462825526,8000,281,47.20320,7.39835,7742,108,9316
1462825539,8000,281,47.20390,7.39273,7742,108,9316
1462825551,8000,281,47.20510,7.38436,7742,108,9316
1462825564,8000,281,47.20670,7.37275,7742,108,9316
1462825579,8100,280,47.20820,7.36111,7742,108,9316
1462825596,7800,281,47.21080,7.34823,18984,106,9316
1462825611,7800,280,47.21200,7.33830,18984,106,9316
1462825632,7800,280,47.21400,7.32182,18984,102,9316
1462825647,7800,280,47.21490,7.31471,18984,99,9316
1462825708,7800,280,47.22000,7.27408,18984,102,9316
1462825728,7650,279,47.22110,7.25992,18984,104,9316
1462825743,7600,277,47.22230,7.24633,18984,100,9316
1462825814,7800,284,47.23040,7.19633,18984,108,9316
1462825951,8000,281,47.24020,7.11728,7742,104,9316
1462825964,7999,280,47.24310,7.09404,7742,102,9316
1462825979,8000,280,47.24430,7.08333,7742,102,9316
1462826001,8100,280,47.24560,7.07198,7742,102,9316
1462826013,8054,283,47.24770,7.05878,7742,101,9316
1462826047,8000,283,47.24820,7.05669,7742,101,9316
1462826060,8000,292,47.25220,7.03380,7742,84,9316
1462826084,8000,292,47.25400,7.02569,7742,84,9316
1462826099,8000,287,47.25600,7.01500,7742,82,9316
1462826134,8000,286,47.25690,7.01026,7742,81,9316
1462826147,8000,286,47.25700,6.99142,7742,81,9316
